Timestamp,Reg1,Reg2,Reg3,Reg4,Reg5,Reg6,Reg7,Reg8,Reg9,Reg10,Reg11,Reg12
491346,307368530,308613733,286658838,195824556,4294901760,4294901760,1568079872,3001024512,4292783539,3215909,23927,45792
497436,307368530,308613733,286658838,195824556,4294901760,4294901760,1568079872,3001024512,4292783539,3269298,15186,37029
505452,322179892,317592302,292950390,202247182,4294901760,3803316224,995229696,2426732544,4292762946,3269298,15186,37029
509017,322179892,317592302,292950390,202247182,4294901760,3803316224,995229696,2426732544,4292762946,3269298,15186,37029
514702,322179892,317592302,292950390,202247182,4294901760,3803316224,995229696,2426732544,4292762946,3269298,15186,37029
520622,322179892,317592302,292950390,202247182,4294901760,3803316224,995229696,2426732544,4292762946,3269298,15186,37029
526491,322179892,317592302,292950390,202247182,4294901760,3803316224,995229696,2426732544,4292762946,3269298,15186,37029
532350,322179939,317592362,292950454,206244939,4294901760,3803316224,1551826944,2985033728,4294945591,2035888,23679,45548
538434,325260131,321524522,297144758,206244939,4294901760,4294901760,1551826944,2985033728,4294945591,2035888,23679,45548
543957,325260131,321524522,297144758,206244939,4294901760,4294901760,1551826944,2985033728,4294945591,2035888,23679,45548
555231,325260131,321524522,297144758,206244939,4294901760,4294901760,1551826944,2985033728,4294945591,2035888,23679,45548
555840,325260131,321524522,297144758,206244939,4294901760,4294901760,1551826944,2985033728,4294945591,2035888,23679,45548
563231,325260131,321524522,297144758,206244939,4294901760,4294901760,1551826944,2985033728,4294945591,2035888,24080,45931
567497,314839748,315560655,291246428,200543220,4294901760,4294901760,1578106880,3010134016,4294356263,2036159,24080,45931
573155,314839748,315560655,291246428,200543220,4294901760,4294901760,1578106880,3010134016,4294356263,2036159,24080,45931
579155,314839748,315560655,291246428,200543220,4294901760,4294901760,1578106880,3010134016,4294356263,2036159,24080,45931
585216,314839748,315560655,291246428,200543220,4294901760,4294901760,1578106880,3010134016,4294356263,2036159,24080,45931
590659,314839748,315560655,291246428,200543220,4294901760,4294901760,1578106880,3010134016,4294356263,2036159,24080,45931
597738,314839749,315560651,291246429,200674294,4294901760,4294901760,1179254784,2617376768,4294342033,2093232,17994,39938
602307,314905285,315298507,291311965,200674294,4294901760,4038066176,1179254784,2617376768,4294342033,2093232,17994,39938
611033,314905285,315298507,291311965,200674294,4294901760,4038066176,1179254784,2617376768,4294342033,2093232,17994,39938
614882,314905285,315298507,291311965,200674294,4294901760,4038066176,1179254784,2617376768,4294342033,2093232,17994,39938
619830,314905285,315298507,291311965,200674294,4294901760,4038066176,1179254784,2617376768,4294342033,2093232,17994,39938
625719,314905285,315298507,291311965,200674294,4294901760,4038066176,1179254784,2617376768,4294342033,2093232,22916,44750
633945,308089437,309662325,288100652,197790666,4294901760,4294901760,1501822976,2932736000,4294353049,2034269,22916,44750
637474,308089437,309662325,288100652,197790666,4294901760,4294901760,1501822976,2932736000,4294353049,2034269,22916,44750
647202,308089437,309662325,288100652,197790666,4294901760,4294901760,1501822976,2932736000,4294353049,2034269,22916,44750
648979,308089437,309662325,288100652,197790666,4294901760,4294901760,1501822976,2932736000,4294353049,2034269,22916,44750
658036,308089437,309662325,288100652,197790666,4294901760,4294901760,1501822976,2932736000,4294353049,2034269,22916,44750
661176,308089681,309662480,288100728,197790753,4294901760,4294901760,1501822976,2540175360,4294928544,584082,16863,38760
667747,324080465,319820560,293081464,203492385,4294901760,3918659584,1105133568,2540175360,4294928544,584082,16863,38760
672887,324080465,319820560,293081464,203492385,4294901760,3918659584,1105133568,2540175360,4294928544,584082,16863,38760
678613,324080465,319820560,293081464,203492385,4294901760,3918659584,1105133568,2540175360,4294928544,584082,16863,38760
686038,324080465,319820560,293081464,203492385,4294901760,3918659584,1105133568,2540175360,4294928544,584082,16863,38760
690216,324080465,319820560,293081464,203492385,4294901760,3918659584,1105133568,2540175360,4294943208,527272,23150,44992
696267,311366287,312283805,290656595,199887850,4294901760,4294901760,1517158400,2948595712,4294877672,527272,23150,44992
708266,311366287,312283805,290656595,199887850,4294901760,4294901760,1517158400,2948595712,4294877672,527272,23150,44992
710991,311366287,312283805,290656595,199887850,4294901760,4294901760,1517158400,2948595712,4294877672,527272,23150,44992
716359,311366287,312283805,290656595,199887850,4294901760,4294901760,1517158400,2948595712,4294877672,527272,23150,44992
723690,311366287,312283805,290656595,199887850,4294901760,4294901760,1517158400,2948595712,4294877672,527272,23150,44992
731118,311366462,312283883,290656632,204016681,4294901760,4294901760,1586102272,3013476352,4294945669,2429317,24202,45982
738704,322835262,317395691,293081464,204016681,4294901760,4294901760,1586102272,3013476352,4294945669,2429317,24202,45982
738899,322835262,317395691,293081464,204016681,4294901760,4294901760,1586102272,3013476352,4294945669,2429317,24202,45982
742767,322835262,317395691,293081464,204016681,4294901760,4294901760,1586102272,3013476352,4294945669,2429317,24202,45982
748542,322835262,317395691,293081464,204016681,4294901760,4294901760,1586102272,3013476352,4294945669,2429317,24202,45982
758926,322835262,317395691,293081464,204016681,4294901760,4294901760,1586102272,3013476352,4294945669,2429317,14630,36357
761924,310841991,310579843,286986523,196676537,4294901760,3722510336,958791680,2382692352,4293088111,2481633,14630,36357
767993,310841991,310579843,286986523,196676537,4294901760,3722510336,958791680,2382692352,4293088111,2481633,14630,36357
772354,310841991,310579843,286986523,196676537,4294901760,3722510336,958791680,2382692352,4293088111,2481633,14630,36357
780571,310841991,310579843,286986523,196676537,4294901760,3722510336,958791680,2382692352,4293088111,2481633,14630,36357
783977,310841991,310579843,286986523,196676537,4294901760,3722510336,958791680,2382692352,4293088111,2481633,14630,36357
795983,310842039,310579882,286986563,200543220,4294901760,3722510336,1525547008,2954887168,4293109110,2428424,23278,45088
796100,313987767,313135786,289608003,200543220,4294901760,4294901760,1525547008,2954887168,4293109110,2428424,23278,45088
801190,313987767,313135786,289608003,200543220,4294901760,4294901760,1525547008,2954887168,4293109110,2428424,23278,45088
807187,313987767,313135786,289608003,200543220,4294901760,4294901760,1525547008,2954887168,4293109110,2428424,23278,45088
812974,313987767,313135786,289608003,200543220,4294901760,4294901760,1525547008,2954887168,4293109110,2428424,23278,45088
818714,313987767,313135786,289608003,200543220,4294901760,4294901760,1525547008,2954887168,4293109110,2428424,19659,41427
824941,315429581,314249915,291967335,201329664,4294901760,4201840640,1288372224,2714959872,4294935406,64115,19659,41427
830518,315429581,314249915,291967335,201329664,4294901760,4201840640,1288372224,2714959872,4294935406,64115,19659,41427
838120,315429581,314249915,291967335,201329664,4294901760,4201840640,1288372224,2714959872,4294935406,64115,19659,41427
841875,315429581,314249915,291967335,201329664,4294901760,4201840640,1288372224,2714959872,4294935406,64115,19659,41427
851401,315429581,314249915,291967335,201329664,4294901760,4201840640,1288372224,2714959872,4294935406,64115,19659,41427
853634,315429490,314249853,291967249,201329567,4294901760,4201840640,1288372224,2714959872,4293635296,4882,24134,45927
863375,309465714,310186621,286331153,194972575,4294901760,4294901760,1581645824,3009871872,4293635296,4882,24134,45927
865266,309465714,310186621,286331153,194972575,4294901760,4294901760,1581645824,3009871872,4293635296,4882,24134,45927
872386,309465714,310186621,286331153,194972575,4294901760,4294901760,1581645824,3009871872,4293635296,4882,24134,45927
877308,309465714,310186621,286331153,194972575,4294901760,4294901760,1581645824,3009871872,4293635296,4882,24134,45927
883173,309465714,310186621,286331153,194972575,4294901760,4294901760,1581645824,3009871872,4293635296,3846,23243,45045
