Timestamp,Combined Value1,Combined Value2,Combined Value3,Combined Value4
1742724568270542,394310,0,430222,509
1742724568278398,393854,0,429640,492
1742724568286254,394207,0,429708,479
1742724568294110,394002,0,429330,468
1742724568301966,393424,0,428725,483
1742724568309822,393025,0,428164,511
1742724568318192,391936,0,427378,482
1742724568328048,391093,0,426511,523
1742724568337904,390574,0,425674,488
1742724568347760,390404,0,425362,495
1742724568357616,390103,0,424950,496
1742724568367472,390415,0,425243,491
1742724568377328,390466,4,425298,493
1742724568386303,390671,0,425316,479
1742724568392587,390122,0,425128,498
1742724568398871,390287,0,425129,473
1742724568405155,389853,0,424648,479
1742724568411439,389302,0,423926,486
1742724568417723,389085,0,423534,493
1742724568424007,388526,0,422888,496
1742724568430603,388451,0,422426,493
1742724568438107,388423,0,422455,502
1742724568445611,387880,0,421904,469
1742724568453115,387986,0,421902,487
1742724568460619,388215,0,422070,486
1742724568468123,388075,0,421898,477
1742724568475627,388384,0,422250,494
1742724568483224,388101,0,422299,488
1742724568491080,388469,0,422525,507
1742724568498936,388561,0,422674,492
1742724568506792,388794,0,422886,475
1742724568514648,388522,0,422671,492
1742724568522504,388569,0,422845,502
1742724568530360,388843,0,423011,495
1742724568538229,388699,0,423213,489
1742724568546085,390535,0,424698,509
1742724568553941,391978,0,425664,487
1742724568561797,392159,2,425410,494
1742724568569653,391108,0,424085,481
1742724568577509,390493,0,423235,502
1742724568585365,388609,3,421640,504
1742724568593334,387060,0,420156,475
1742724568601618,386192,0,419093,509
1742724568609902,385699,0,418955,477
1742724568618186,386823,0,419968,482
1742724568626470,388366,0,421299,458
1742724568634754,389649,0,422616,481
1742724568643038,390298,0,423515,473
1742724568650977,390700,0,423769,467
1742724568657833,390336,3,423364,509
1742724568664689,389403,0,422184,475
1742724568671545,388501,0,421381,471
1742724568678401,387658,0,420882,482
1742724568685257,386918,0,420432,473
1742724568692113,387048,0,420390,497
1742724568699372,386358,11,419950,467
1742724568707800,386441,13,419715,501
1742724568716228,386478,0,419655,482
1742724568724656,386572,0,419700,468
1742724568733084,386860,0,419885,475
1742724568741512,387040,0,419927,476
1742724568749940,387289,0,419815,487
1742724568758226,386987,0,419533,484
1742724568766082,387236,0,419187,509
1742724568773938,386029,0,418171,486
1742724568781794,385102,0,416916,482
1742724568789650,384216,0,416490,478
1742724568797506,383359,0,415644,435
1742724568805362,382635,0,414023,485
1742724568813280,381060,0,412157,450
1742724568821276,380724,0,411369,453
1742724568829272,380796,0,411723,460
1742724568837268,381304,0,412040,463
1742724568845264,381679,0,412173,461
1742724568853260,381486,0,411956,439
1742724568861256,381285,7,411884,458
1742724568869698,381404,0,411777,444
1742724568879410,381107,0,411728,439
1742724568889122,381293,0,411369,447
1742724568898834,381017,0,411005,457
1742724568908546,380596,0,410899,447
1742724568918258,379926,0,410327,444
1742724568927970,380057,0,409950,477
1742724568936801,379331,5,409410,464
1742724568942945,379234,0,408980,484
1742724568949089,378882,0,408796,451
1742724568955233,378740,0,408564,469
1742724568961377,378867,0,408709,438
1742724568967521,378814,3,408661,462
1742724568973665,378910,0,408659,469
1742724568980250,378812,0,408643,463
1742724568988050,378789,4,408475,487
1742724568995850,378510,0,408075,444
1742724569003650,378133,0,407768,469
1742724569011450,378263,0,407741,473
1742724569019250,378021,0,407459,471
1742724569027050,378363,0,407739,465
1742724569034727,378415,1,407730,454
1742724569042011,378757,0,407949,510
1742724569049295,378592,0,407739,443
1742724569056579,378953,0,407868,470
1742724569063863,379090,0,408109,447
1742724569071147,379043,5,408226,449
1742724569078431,379251,0,408497,488
1742724569085982,379379,16,408363,483
1742724569094266,379683,0,408869,480
1742724569102550,379870,0,408972,445
1742724569110834,380004,0,409148,454
1742724569119118,380208,0,409526,456
1742724569127402,380488,0,410024,477
1742724569135686,380988,0,410540,483
1742724569143725,382792,0,412371,470
1742724569150937,384946,22,414814,512
1742724569158149,385383,0,415086,473
1742724569165361,385366,0,414624,464
1742724569172573,384870,0,414046,445
1742724569179785,383578,0,412637,474
1742724569186997,382511,0,411284,481
1742724569194457,381742,1,410165,461
1742724569202597,381425,3,410323,485
1742724569210737,382691,0,411675,457
1742724569218877,384926,0,413870,480
1742724569227017,387042,0,416055,480
1742724569235157,388582,0,417914,473
1742724569243297,389143,0,418715,507
1742724569251417,388552,0,418070,470
1742724569259373,387781,4,417361,525
1742724569267329,386886,0,416675,468
1742724569275285,386062,0,416288,480
1742724569283241,385781,0,416091,465
1742724569291197,385670,0,415857,456
1742724569299153,385939,0,416023,504
1742724569307227,385968,0,415939,497
1742724569315547,386004,0,416197,495
1742724569323867,386769,0,416683,514
1742724569332187,387307,0,417143,505
1742724569340507,387470,0,417462,504
1742724569348827,387734,0,417781,490
1742724569357147,388050,0,418067,504
1742724569365226,387834,0,417745,499
1742724569372510,386789,0,416804,478
1742724569379794,386132,0,415906,476
1742724569387078,385544,0,415412,480
1742724569394362,385224,0,415119,461
1742724569401646,384861,0,414429,466
1742724569408930,384870,0,413938,489
1742724569416473,384228,0,413378,473
1742724569424757,384476,0,413368,509
1742724569433041,384754,0,413630,458
1742724569441325,385106,0,413970,462
1742724569449609,385374,0,414380,480
1742724569457893,385302,0,414400,468
1742724569466177,385288,0,414389,494
1742724569474249,385552,0,414338,471
1742724569481677,385889,0,414462,505
1742724569489105,385480,0,414415,473
1742724569496533,385211,0,414158,465
1742724569503961,384963,0,413918,456
1742724569511389,384268,0,413150,463
1742724569518817,384281,0,412825,479
1742724569526585,383789,0,412423,465
1742724569535297,383549,5,412468,472
1742724569544009,383555,0,412375,475
1742724569552721,383477,0,412151,464
1742724569561433,383599,0,412396,466
1742724569570145,383943,0,412740,486
1742724569578857,383999,7,412596,465
1742724569587144,383692,0,412554,487
1742724569594144,383886,18,412532,520
1742724569601144,383510,0,412242,484
1742724569608144,383369,0,412003,465
1742724569615144,383068,5,411669,456
1742724569622144,382977,0,411548,454
1742724569629144,383365,0,411573,498
1742724569636557,383126,0,411554,476
