Timestamp,CH1_SLOTA,CH2_SLOTA,CH3_SLOTA,CH4_SLOTA,CH1_SLOTB,CH2_SLOTB,CH3_SLOTB,CH4_SLOTB
8016355,217579520,31326208,3319,1197,1447886848,1609695232,5372,39096
8024543,217579520,31326208,3319,1197,1447886848,1609695232,5372,39096
8029998,217579520,31326208,3319,1197,1447886848,1609695232,5372,39096
8036866,217579520,31326208,3319,1197,1447886848,1609695232,5372,39096
8043987,214499328,30277632,3279,1154,1444741120,1608253440,5338,39090
8050927,214499328,30277632,3279,1154,1444741120,1608253440,5338,39090
8057019,214499328,30277632,3279,1154,1444741120,1608253440,5338,39090
8063796,214499328,30277632,3279,1154,1444741120,1608253440,5338,39090
8070969,214827008,29884416,3279,1172,1452539904,1614348288,5475,39221
8080563,214827008,29884416,3271,1172,1452539904,1614348288,5475,39221
8084297,214827008,29884416,3271,1172,1452539904,1614348288,5475,39221
8092551,214827008,29884416,3271,1172,1452539904,1614348288,5475,39221
8099127,214827008,29884416,3271,1172,1452539904,1614348288,5475,39221
8105131,211353600,26738688,3222,1132,1453064192,1614086144,5471,39234
8116206,211353600,26738688,3222,1132,1453064192,1614086144,5471,39234
8117872,211353600,26738688,3222,1132,1453064192,1614086144,5471,39234
8124724,211353600,26738688,3222,1132,1453064192,1614086144,5471,39234
8133198,211353600,26738688,3222,1132,1453064192,1614086144,5471,39234
8138327,214761472,31457280,3284,1168,1453064192,1614479360,5448,39159
8147479,214761472,31457280,3284,1168,1453064192,1614479360,5448,39159
8153434,214761472,31457280,3284,1168,1453064192,1614479360,5448,39159
8162061,214761472,31457280,3284,1168,1453064192,1614479360,5448,39159
8169668,214761472,31457280,3284,1168,1453064192,1614479360,5448,39159
8173338,213975040,28049408,3246,1158,1453064192,1613889536,5475,39188
8179318,213975040,28049408,3246,1158,1453064192,1613889536,5475,39188
8186085,213975040,28049408,3246,1158,1453064192,1613889536,5475,39188
8193004,213975040,28049408,3246,1158,1453064192,1613889536,5475,39188
8200142,215547904,32440320,3246,1198,1457324032,1618608128,5566,39259
8207588,215547904,32440320,3265,1198,1457324032,1618608128,5566,39259
8216047,215547904,32440320,3265,1198,1457324032,1618608128,5566,39259
8220144,215547904,32440320,3265,1198,1457324032,1618608128,5566,39259
8226851,215547904,32440320,3265,1198,1457324032,1618608128,5566,39259
8235225,214564864,30081024,3297,1197,1450115072,1612185600,5454,39192
8241222,214564864,30081024,3297,1197,1450115072,1612185600,5454,39192
8254909,214564864,30081024,3297,1197,1450115072,1612185600,5454,39192
8255002,214564864,30081024,3297,1197,1450115072,1612185600,5454,39192
8261638,214564864,30081024,3297,1197,1450115072,1612185600,5454,39192
8270180,214827008,29622272,3292,1178,1457192960,1617952768,5569,39251
8275016,214827008,29622272,3292,1178,1457192960,1617952768,5569,39251
8283941,214827008,29622272,3292,1178,1457192960,1617952768,5569,39251
8287444,214827008,29622272,3292,1178,1457192960,1617952768,5569,39251
8294538,214827008,29622272,3292,1178,1457192960,1617952768,5569,39251
8301909,215416832,29294592,3258,1160,1449787392,1610481664,5396,39129
8308758,215416832,29294592,3258,1160,1449787392,1610481664,5396,39129
8314685,215416832,29294592,3258,1160,1449787392,1610481664,5396,39129
8321470,215416832,29294592,3258,1160,1449787392,1610481664,5396,39129
8328350,214564864,29229056,3258,1165,1450246144,1611857920,5445,39126
8339257,214564864,29229056,3256,1165,1450246144,1611857920,5445,39126
8342454,214564864,29229056,3256,1165,1450246144,1611857920,5445,39126
8348531,214564864,29229056,3256,1165,1450246144,1611857920,5445,39126
8357123,214564864,29229056,3256,1165,1450246144,1611857920,5445,39126
8362086,215810048,31981568,3289,1183,1451294720,1613103104,5482,39217
8372863,215810048,31981568,3289,1183,1451294720,1613103104,5482,39217
8375574,215810048,31981568,3289,1183,1451294720,1613103104,5482,39217
8384062,215810048,31981568,3289,1183,1451294720,1613103104,5482,39217
8389703,215810048,31981568,3289,1183,1451294720,1613103104,5482,39217
8396123,214106112,29425664,3283,1190,1450246144,1611792384,5469,39208
8403551,214106112,29425664,3283,1190,1450246144,1611792384,5469,39208
8409722,214106112,29425664,3283,1190,1450246144,1611792384,5469,39208
8416107,214106112,29425664,3283,1190,1450246144,1611792384,5469,39208
8429602,214106112,29425664,3283,1190,1450246144,1611792384,5469,39208
8429724,212402176,29097984,3207,1165,1449459712,1610088448,5431,39183
8437977,212402176,29097984,3207,1165,1449459712,1610088448,5431,39183
8443965,212402176,29097984,3207,1165,1449459712,1610088448,5431,39183
8452502,212402176,29097984,3207,1165,1449459712,1610088448,5431,39183
8456639,208666624,24510464,3207,1103,1448148992,1610940416,5458,39148
8465305,208666624,24510464,3196,1103,1448148992,1610940416,5458,39148
8475431,208666624,24510464,3196,1103,1448148992,1610940416,5458,39148
8477639,208666624,24510464,3196,1103,1448148992,1610940416,5458,39148
8486069,208666624,24510464,3196,1103,1448148992,1610940416,5458,39148
8491121,212664320,29229056,3254,1171,1447493632,1609891840,5421,39138
8497256,212664320,29229056,3254,1171,1447493632,1609891840,5421,39138
8503929,212664320,29229056,3254,1171,1447493632,1609891840,5421,39138
8512586,212664320,29229056,3254,1171,1447493632,1609891840,5421,39138
8517525,212664320,29229056,3254,1171,1447493632,1609891840,5421,39138
8524997,212729856,30277632,3265,1150,1447493632,1607925760,5431,39156
8531881,212729856,30277632,3265,1150,1447493632,1607925760,5431,39156
8539936,212729856,30277632,3265,1150,1447493632,1607925760,5431,39156
8544772,212729856,30277632,3265,1150,1447493632,1607925760,5431,39156
8553881,212729856,30277632,3265,1150,1447493632,1607925760,5431,39156
8558793,213385216,27721728,3238,1143,1450639360,1612578816,5538,39252
8565730,213385216,27721728,3238,1143,1450639360,1612578816,5538,39252
8575279,213385216,27721728,3238,1143,1450639360,1612578816,5538,39252
8580107,213385216,27721728,3238,1143,1450639360,1612578816,5538,39252
8585170,213385216,30212096,3238,1143,1448607744,1610678272,5460,39175
8592532,216727552,30212096,3258,1184,1448607744,1610678272,5460,39175
8599250,216727552,30212096,3258,1184,1448607744,1610678272,5460,39175
8605624,216727552,30212096,3258,1184,1448607744,1610678272,5460,39175
